ip;alert_count;vt_found;malicious;suspicious;harmless;undetected;threat_detected
8.42.77.171;52;False;;;;;False
92.63.194.33;6;False;;;;;False
37.49.231.178;6;False;;;;;False
185.53.91.55;6;False;;;;;False
194.28.115.243;4;False;;;;;False
61.176.222.167;3;False;;;;;False
80.211.246.121;3;False;;;;;False
185.176.27.6;3;False;;;;;False
43.227.231.129;3;False;;;;;False
194.28.115.245;3;False;;;;;False
185.53.91.29;3;False;;;;;False
185.176.27.62;3;False;;;;;False
5.188.206.22;3;False;;;;;False
185.244.25.145;3;False;;;;;False
92.63.194.28;3;False;;;;;False
185.176.27.246;3;False;;;;;False
59.47.71.13;3;False;;;;;False
45.62.211.169;3;False;;;;;False
78.128.112.98;3;False;;;;;False
31.192.108.68;3;False;;;;;False
185.53.91.65;3;False;;;;;False
92.63.194.38;3;False;;;;;False
37.49.231.72;3;False;;;;;False
92.53.90.179;3;False;;;;;False
92.63.194.18;3;False;;;;;False
92.53.90.212;3;False;;;;;False
92.63.194.43;3;False;;;;;False
176.119.4.12;2;False;;;;;False
185.176.27.58;2;False;;;;;False
176.119.4.73;2;False;;;;;False
185.253.157.100;2;False;;;;;False
176.119.4.29;2;False;;;;;False
120.52.152.16;2;False;;;;;False
185.176.27.50;2;False;;;;;False
185.211.245.168;2;False;;;;;False
176.119.4.50;2;False;;;;;False
185.255.31.6;2;False;;;;;False
185.176.27.2;2;False;;;;;False
185.176.27.102;2;False;;;;;False
176.119.4.35;2;False;;;;;False
176.119.4.18;2;False;;;;;False
190.61.31.105;2;False;;;;;False
109.248.9.13;2;True;0.0;0.0;0.0;94.0;False
92.53.76.213;2;False;;;;;False
176.119.4.9;2;False;;;;;False
176.119.4.77;2;False;;;;;False
176.119.4.22;2;False;;;;;False
88.214.26.54;2;False;;;;;False
176.119.4.37;2;False;;;;;False
205.209.162.131;1;False;;;;;False
113.10.171.28;1;True;0.0;0.0;0.0;94.0;False
198.108.67.99;1;False;;;;;False
199.231.226.166;1;False;;;;;False
185.176.27.38;1;False;;;;;False
185.244.25.105;1;False;;;;;False
185.211.245.157;1;False;;;;;False
122.10.90.9;1;False;;;;;False
58.215.57.185;1;False;;;;;False
82.202.209.155;1;False;;;;;False
176.119.4.51;1;False;;;;;False
185.176.27.98;1;False;;;;;False
198.108.67.100;1;False;;;;;False
66.240.236.119;1;False;;;;;False
176.119.4.49;1;False;;;;;False
198.108.67.78;1;False;;;;;False
88.202.190.148;1;False;;;;;False
212.118.117.245;1;False;;;;;False
5.42.250.179;1;False;;;;;False
184.105.139.67;1;False;;;;;False
58.218.213.6;1;False;;;;;False
91.245.36.26;1;False;;;;;False
120.192.150.234;1;False;;;;;False
198.108.67.51;1;False;;;;;False
176.119.4.11;1;False;;;;;False
89.248.168.51;1;False;;;;;False
103.94.2.20;1;True;0.0;0.0;0.0;94.0;False
185.176.27.34;1;False;;;;;False
82.202.197.192;1;False;;;;;False
37.49.231.125;1;False;;;;;False
5.101.40.81;1;False;;;;;False
31.163.158.140;1;False;;;;;False
176.119.4.39;1;False;;;;;False
71.6.199.23;1;False;;;;;False
185.244.25.167;1;False;;;;;False
172.93.97.106;1;False;;;;;False
176.119.4.28;1;False;;;;;False
80.82.77.33;1;False;;;;;False
183.62.210.228;1;False;;;;;False
71.6.232.4;1;False;;;;;False
107.175.128.157;1;True;0.0;0.0;0.0;94.0;False
122.60.171.48;1;False;;;;;False
187.188.85.53;1;False;;;;;False
89.248.167.131;1;False;;;;;False
109.248.9.14;1;True;0.0;0.0;0.0;94.0;False
185.176.27.14;1;False;;;;;False
185.253.157.102;1;False;;;;;False
58.48.32.199;1;False;;;;;False
88.202.190.157;1;False;;;;;False
185.176.27.30;1;False;;;;;False
123.161.205.21;1;False;;;;;False
185.176.27.26;1;False;;;;;False
119.180.27.2;1;True;0.0;0.0;0.0;94.0;False
80.211.172.233;1;False;;;;;False
119.57.173.243;1;True;0.0;1.0;59.0;34.0;True
61.219.11.151;1;False;;;;;False
185.255.31.78;1;False;;;;;False
213.14.156.109;1;False;;;;;False
112.140.186.244;1;True;0.0;0.0;0.0;94.0;False
221.229.166.37;1;False;;;;;False
37.49.228.121;1;False;;;;;False
5.141.67.237;1;False;;;;;False
176.119.4.26;1;False;;;;;False
205.209.158.36;1;False;;;;;False
198.108.67.90;1;False;;;;;False
116.112.214.134;1;True;0.0;0.0;0.0;94.0;False
185.244.25.216;1;False;;;;;False
1.169.38.217;1;True;0.0;0.0;0.0;94.0;False
46.100.43.82;1;False;;;;;False
